layer,threshold,capacity,total_outliers,density_pct,max_call_total,max_row_outliers,score
0,256,1,0,0.0,0,0,6.889876336630505
1,48,2,16,1.5e-05,1,1,4.799234421145729
2,24,2,12,1.1e-05,1,1,4.274355550597532
3,24,17,1489,0.00142,13,1,3.5392264908804227
4,48,14,110,0.000105,11,1,2.9229175638896114
5,64,222,26042,0.024835,177,2,6.3361993890008215
6,32,2,61,5.8e-05,1,1,1.176170523013984
7,24,5,408,0.000389,4,2,2.24641024798372
8,192,1,0,0.0,0,0,6.409876336630487
9,24,2,200,0.000191,1,1,1.5359999999999934
10,192,1,0,0.0,0,0,6.409876336630487
11,32,5,114,0.000109,4,1,0.5583727796958255
12,24,24,474,0.000452,19,3,2.396009895975559
13,24,5,404,0.000385,4,2,2.2365821590474564
14,24,5,82,7.8e-05,4,1,2.420464300262471
15,24,3,16,1.5e-05,2,1,4.006091564002853
16,24,3,202,0.000193,2,1,1.5459010709827048
17,32,1,0,0.0,0,0,5.653304908059075
18,32,1,0,0.0,0,0,5.653304908059075
19,24,4,284,0.000271,3,1,1.8851842722095684
20,32,1,0,0.0,0,0,5.653304908059075
21,32,1,0,0.0,0,0,5.653304908059075
22,24,4,284,0.000271,3,1,1.8851842722095684
23,24,29,358,0.000341,23,2,2.1160174804291962
24,24,3,202,0.000193,2,1,1.5459010709827048
25,32,1,0,0.0,0,0,5.653304908059075
26,32,1,0,0.0,0,0,5.653304908059075
27,32,1,0,0.0,0,0,5.653304908059075
28,32,1,0,0.0,0,0,5.653304908059075
29,32,1,0,0.0,0,0,5.653304908059075
30,32,1,0,0.0,0,0,5.653304908059075
31,32,1,0,0.0,0,0,5.653304908059075
32,32,1,0,0.0,0,0,5.653304908059075
33,32,1,0,0.0,0,0,5.653304908059075
34,32,1,0,0.0,0,0,5.653304908059075
35,32,25,671,0.00064,20,1,1.2069534324640738
