layer	configured_capacity	records	peak_compact_used	headroom_at_peak	peak_util	p95_util	p99_util	near_full_records_90pct	near_full_records_75pct	total_outliers_sum	peak_total_outliers	peak_max_row_outliers	overflow_rows_sum	compact_overflow_sum
2	695	576	614	81	0.883453237410072	0.7388489208633093	0.8492805755395683	0	23	233827	614	6	0	0
3	72	576	60	12	0.8333333333333334	0.5972222222222222	0.6944444444444444	0	2	17449	60	3	0	0
7	68	576	84	-16	1.2352941176470589	0.5147058823529411	0.6507352941176471	1	2	9227	68	8	0	1
9	14	576	7	7	0.5	0.2857142857142857	0.35714285714285715	0	0	248	7	4	0	0
13	29	576	17	12	0.5862068965517241	0.3793103448275862	0.5172413793103449	0	0	2182	17	6	0	0
15	46	576	47	-1	1.0217391304347827	0.45652173913043476	0.6086956521739131	1	1	4147	46	8	0	1
16	174	576	251	-77	1.4425287356321839	0.7729885057471264	0.9482758620689655	9	34	45333	174	5	0	4
17	31	576	53	-22	1.7096774193548387	0.29838709677419356	0.6129032258064516	3	3	1400	31	4	0	2
18	409	576	425	-16	1.039119804400978	0.5366748166259169	0.6748166259168704	2	4	64505	409	5	0	1
19	16	576	39	-23	2.4375	0.25	0.625	4	5	536	16	3	0	4
20	129	576	76	53	0.5891472868217055	0.14147286821705427	0.32751937984496127	0	0	2931	76	6	0	0
21	564	576	487	77	0.8634751773049646	0.7943262411347518	0.8337765957446809	0	78	197572	487	4	0	0
22	580	576	700	-120	1.206896551724138	0.7056034482758621	0.8892241379310345	3	14	143753	576	5	0	1
24	17	576	13	4	0.7647058823529411	0.23529411764705882	0.47058823529411764	0	1	556	13	4	0	0
25	128	576	165	-37	1.2890625	0.765625	1.056640625	13	31	22537	128	4	0	9
26	26	576	14	12	0.5384615384615384	0.16346153846153846	0.3173076923076923	0	0	499	14	4	0	0
27	77	576	99	-22	1.2857142857142858	0.7272727272727273	0.8603896103896103	4	20	18113	77	3	0	2
28	28	576	52	-24	1.8571428571428572	0.7142857142857143	0.9017857142857144	6	28	6194	28	2	0	5
29	29	576	37	-8	1.2758620689655173	0.4827586206896552	0.7931034482758621	3	7	3311	29	2	0	1
30	1664	576	1508	156	0.90625	0.837890625	0.8721454326923076	1	246	674800	1508	6	0	0
31	30	576	33	-3	1.1	0.4	0.85	6	7	2102	30	3	0	3
32	8	576	68	-60	8.5	0.78125	1.65625	23	40	781	8	2	0	18
33	18	576	14	4	0.7777777777777778	0.2222222222222222	0.3472222222222222	0	1	530	14	3	0	0
34	1667	576	1609	58	0.9652069586082783	0.7810437912417516	0.8528794241151769	2	67	616858	1609	4	0	0
