layer	configured_capacity	records	peak_compact_used	headroom_at_peak	peak_util	p95_util	p99_util	near_full_records_90pct	near_full_records_75pct	total_outliers_sum	peak_total_outliers	peak_max_row_outliers	overflow_rows_sum	compact_overflow_sum
2	768	576	614	154	0.7994791666666666	0.6686197916666666	0.7685546875	0	8	233827	614	6	0	0
3	72	576	61	11	0.8472222222222222	0.5972222222222222	0.6736111111111112	0	1	17387	61	3	0	0
7	105	576	54	51	0.5142857142857142	0.3333333333333333	0.41904761904761906	0	0	9281	54	8	0	0
9	14	576	8	6	0.5714285714285714	0.2857142857142857	0.35714285714285715	0	0	259	8	4	0	0
13	29	576	17	12	0.5862068965517241	0.3793103448275862	0.5172413793103449	0	0	2105	17	6	0	0
15	78	576	47	31	0.6025641025641025	0.2564102564102564	0.358974358974359	0	0	4051	47	8	0	0
16	314	576	227	87	0.7229299363057324	0.46257961783439494	0.5605095541401274	0	0	47467	227	5	0	0
17	67	576	61	6	0.9104477611940298	0.11940298507462686	0.20149253731343283	1	1	1220	61	4	0	0
18	532	576	337	195	0.6334586466165414	0.4008458646616541	0.5314849624060151	0	0	65832	337	5	0	0
19	49	576	23	26	0.46938775510204084	0.08163265306122448	0.14795918367346939	0	0	522	23	3	0	0
20	168	576	77	91	0.4583333333333333	0.09523809523809523	0.21875	0	0	2536	77	6	0	0
21	609	576	512	97	0.8407224958949097	0.7393267651888342	0.7717569786535303	0	16	197851	512	3	0	0
22	875	576	546	329	0.624	0.47685714285714287	0.5499999999999999	0	0	143903	546	5	0	0
24	17	576	10	7	0.5882352941176471	0.23529411764705882	0.47058823529411764	0	0	573	10	4	0	0
25	207	576	171	36	0.8260869565217391	0.43115942028985504	0.571256038647343	0	1	21605	171	3	0	0
26	26	576	14	12	0.5384615384615384	0.19230769230769232	0.3076923076923077	0	0	518	14	4	0	0
27	124	576	78	46	0.6290322580645161	0.4435483870967742	0.5625	0	0	17817	78	3	0	0
28	114	576	56	58	0.49122807017543857	0.16666666666666666	0.21929824561403508	0	0	6135	56	2	0	0
29	60	576	36	24	0.6	0.2375	0.38333333333333336	0	0	3310	36	2	0	0
30	1885	576	1466	419	0.7777188328912467	0.7230769230769231	0.7527851458885941	0	7	667491	1466	6	0	0
31	66	576	25	41	0.3787878787878788	0.15151515151515152	0.23106060606060608	0	0	1866	25	3	0	0
32	85	576	21	64	0.24705882352941178	0.07352941176470588	0.15588235294117647	0	0	827	21	2	0	0
33	18	576	14	4	0.7777777777777778	0.2222222222222222	0.3472222222222222	0	1	543	14	3	0	0
34	2012	576	1549	463	0.7698807157057654	0.6452534791252484	0.683648111332008	0	2	613989	1549	4	0	0
