layer	configured_capacity	records	peak_compact_used	headroom_at_peak	peak_util	p95_util	p99_util	near_full_records_90pct	near_full_records_75pct	total_outliers_sum	peak_total_outliers	peak_max_row_outliers	overflow_rows_sum	compact_overflow_sum
2	768	576	614	154	0.7994791666666666	0.6686197916666666	0.7685546875	0	8	233827	614	6	0	0
3	72	576	56	16	0.7777777777777778	0.6111111111111112	0.6944444444444444	0	2	17419	56	3	0	0
7	105	576	54	51	0.5142857142857142	0.3238095238095238	0.41904761904761906	0	0	9075	54	8	0	0
9	14	576	9	5	0.6428571428571429	0.2857142857142857	0.35714285714285715	0	0	256	9	4	0	0
13	29	576	17	12	0.5862068965517241	0.3793103448275862	0.5172413793103449	0	0	2129	17	6	0	0
15	59	576	52	7	0.8813559322033898	0.3559322033898305	0.4915254237288136	0	2	4284	52	8	0	0
16	314	576	200	114	0.6369426751592356	0.44028662420382164	0.5461783439490446	0	0	46876	200	5	0	0
17	67	576	30	37	0.44776119402985076	0.15298507462686567	0.25	0	0	1375	30	4	0	0
18	532	576	334	198	0.6278195488721805	0.42058270676691734	0.5418233082706767	0	0	66825	334	6	0	0
19	49	576	35	14	0.7142857142857143	0.08163265306122448	0.2704081632653061	0	0	629	35	3	0	0
20	129	576	112	17	0.8682170542635659	0.17829457364341086	0.374031007751938	0	2	3154	112	6	0	0
21	609	576	509	100	0.8357963875205254	0.7454844006568144	0.7836617405582924	0	22	195436	509	4	0	0
22	875	576	578	297	0.6605714285714286	0.4928571428571429	0.5765714285714285	0	0	142173	578	5	0	0
24	17	576	10	7	0.5882352941176471	0.23529411764705882	0.47058823529411764	0	0	549	10	4	0	0
25	207	576	172	35	0.8309178743961353	0.4251207729468599	0.6714975845410628	0	2	22450	172	4	0	0
26	26	576	14	12	0.5384615384615384	0.19230769230769232	0.34615384615384615	0	0	568	14	4	0	0
27	124	576	103	21	0.8306451612903226	0.4596774193548387	0.5423387096774193	0	1	18293	103	2	0	0
28	65	576	76	-11	1.1692307692307693	0.3076923076923077	0.40769230769230774	1	1	6223	65	2	0	1
29	47	576	40	7	0.851063829787234	0.324468085106383	0.43617021276595747	0	1	3388	40	2	0	0
30	1885	576	1551	334	0.8228116710875332	0.7374005305039788	0.7639257294429709	0	12	668375	1551	6	0	0
31	42	576	44	-2	1.0476190476190477	0.2857142857142857	0.5059523809523809	1	2	2043	42	3	0	1
32	85	576	19	66	0.2235294117647059	0.07058823529411765	0.12941176470588237	0	0	833	19	2	0	0
33	18	576	14	4	0.7777777777777778	0.2222222222222222	0.3333333333333333	0	1	567	14	3	0	0
34	2012	576	1470	542	0.7306163021868787	0.6492296222664016	0.6893638170974156	0	0	618006	1470	4	0	0
