threshold,layer,records,max_batch_outliers,target_values,max_batch_outlier_ratio,total_outliers,nonzero_batches,ppl,ppl_err
16.0,0,2,5041,524288,0.009614944458007812,10029,2,28.453,4.88569
16.0,1,2,3997,524288,0.0076236724853515625,7990,2,28.453,4.88569
16.0,2,2,269,524288,0.0005130767822265625,503,2,28.453,4.88569
16.0,3,2,44,524288,8.392333984375e-05,81,2,28.453,4.88569
16.0,4,2,5352,524288,0.0102081298828125,10632,2,28.453,4.88569
16.0,5,2,3991,524288,0.0076122283935546875,7965,2,28.453,4.88569
16.0,6,2,2999,524288,0.0057201385498046875,5773,2,28.453,4.88569
16.0,7,2,26,524288,4.9591064453125e-05,42,2,28.453,4.88569
16.0,8,2,3637,524288,0.0069370269775390625,7254,2,28.453,4.88569
16.0,9,2,4,524288,7.62939453125e-06,8,2,28.453,4.88569
16.0,10,2,3892,524288,0.00742340087890625,7771,2,28.453,4.88569
16.0,11,2,4422,524288,0.008434295654296875,8711,2,28.453,4.88569
16.0,12,2,1497,524288,0.0028553009033203125,2926,2,28.453,4.88569
16.0,13,2,11,524288,2.09808349609375e-05,21,2,28.453,4.88569
16.0,14,2,2543,524288,0.0048503875732421875,5042,2,28.453,4.88569
16.0,15,2,15,524288,2.86102294921875e-05,26,2,28.453,4.88569
16.0,16,2,114,524288,0.000217437744140625,202,2,28.453,4.88569
16.0,17,2,6,524288,1.1444091796875e-05,11,2,28.453,4.88569
16.0,18,2,162,524288,0.000308990478515625,302,2,28.453,4.88569
16.0,19,2,4,524288,7.62939453125e-06,7,2,28.453,4.88569
16.0,20,2,10,524288,1.9073486328125e-05,16,2,28.453,4.88569
16.0,21,2,399,524288,0.0007610321044921875,723,2,28.453,4.88569
16.0,22,2,381,524288,0.0007266998291015625,704,2,28.453,4.88569
16.0,23,2,1607,524288,0.0030651092529296875,3197,2,28.453,4.88569
16.0,24,2,7,524288,1.33514404296875e-05,11,2,28.453,4.88569
16.0,25,2,37,524288,7.05718994140625e-05,63,2,28.453,4.88569
16.0,26,2,4,524288,7.62939453125e-06,8,2,28.453,4.88569
16.0,27,2,18,524288,3.4332275390625e-05,35,2,28.453,4.88569
16.0,28,2,13,524288,2.47955322265625e-05,24,2,28.453,4.88569
16.0,29,2,18,524288,3.4332275390625e-05,35,2,28.453,4.88569
16.0,30,2,1465,524288,0.0027942657470703125,2886,2,28.453,4.88569
16.0,31,2,13,524288,2.47955322265625e-05,18,2,28.453,4.88569
16.0,32,2,23,524288,4.38690185546875e-05,30,2,28.453,4.88569
16.0,33,2,4,524288,7.62939453125e-06,7,2,28.453,4.88569
16.0,34,2,1402,524288,0.002674102783203125,2761,2,28.453,4.88569
16.0,35,2,4808,524288,0.0091705322265625,9475,2,28.453,4.88569
24.0,0,2,4096,524288,0.0078125,8192,2,10.3728,1.51649
24.0,1,2,3238,524288,0.006175994873046875,6430,2,10.3728,1.51649
24.0,2,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,3,2,2,524288,3.814697265625e-06,4,2,10.3728,1.51649
24.0,4,2,2466,524288,0.004703521728515625,4840,2,10.3728,1.51649
24.0,5,2,3297,524288,0.0062885284423828125,6586,2,10.3728,1.51649
24.0,6,2,141,524288,0.0002689361572265625,233,2,10.3728,1.51649
24.0,7,2,2,524288,3.814697265625e-06,4,2,10.3728,1.51649
24.0,8,2,2715,524288,0.0051784515380859375,5422,2,10.3728,1.51649
24.0,9,2,1,524288,1.9073486328125e-06,2,2,10.3728,1.51649
24.0,10,2,2746,524288,0.005237579345703125,5470,2,10.3728,1.51649
24.0,11,2,386,524288,0.000736236572265625,746,2,10.3728,1.51649
24.0,12,2,14,524288,2.6702880859375e-05,24,2,10.3728,1.51649
24.0,13,2,2,524288,3.814697265625e-06,4,2,10.3728,1.51649
24.0,14,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,15,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,16,2,1,524288,1.9073486328125e-06,2,2,10.3728,1.51649
24.0,17,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,18,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,19,2,2,524288,3.814697265625e-06,3,2,10.3728,1.51649
24.0,20,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,21,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,22,2,2,524288,3.814697265625e-06,3,2,10.3728,1.51649
24.0,23,2,4,524288,7.62939453125e-06,7,2,10.3728,1.51649
24.0,24,2,1,524288,1.9073486328125e-06,2,2,10.3728,1.51649
24.0,25,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,26,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,27,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,28,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,29,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,30,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,31,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,32,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,33,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,34,2,0,524288,0.0,0,0,10.3728,1.51649
24.0,35,2,592,524288,0.001129150390625,1044,2,10.3728,1.51649
