threshold,layer,records,max_batch_outliers,target_values,max_batch_outlier_ratio,total_outliers,nonzero_batches,ppl,ppl_err,target_ratio,ratio_delta
208.0,0,50,149,524288,0.0002841949462890625,4515,50,10.2123,0.27747,0.0001,0.0001841949462890625
42.0,1,50,38,524288,7.2479248046875e-05,763,50,10.2248,0.27917,0.0001,-2.7520751953125005e-05
19.0,2,50,51,524288,9.72747802734375e-05,1597,50,14.5806,0.3911,0.0001,-2.725219726562505e-06
16.5,3,50,48,524288,9.1552734375e-05,1612,50,33.3239,1.02053,0.0001,-8.447265625000005e-06
42.0,4,50,59,524288,0.0001125335693359375,1986,50,10.2248,0.27917,0.0001,1.2533569335937495e-05
72.0,5,50,41,524288,7.82012939453125e-05,862,50,10.2543,0.28094,0.0001,-2.1798706054687505e-05
26.0,6,50,53,524288,0.0001010894775390625,851,50,10.1592,0.27693,0.0001,1.0894775390624952e-06
15.0,7,50,59,524288,0.0001125335693359375,1844,50,43.4141,1.35843,0.0001,1.2533569335937495e-05
42.0,8,50,15,524288,2.86102294921875e-05,109,29,10.2248,0.27917,0.0001,-7.13897705078125e-05
13.0,9,50,51,524288,9.72747802734375e-05,1327,50,97.4305,3.39968,0.0001,-2.725219726562505e-06
38.0,10,50,76,524288,0.00014495849609375,1515,50,10.0891,0.27299,0.0001,4.4958496093749995e-05
27.0,11,50,73,524288,0.0001392364501953125,1854,50,10.27,0.28025,0.0001,3.9236450195312495e-05
23.0,12,50,53,524288,0.0001010894775390625,537,45,10.2084,0.27766,0.0001,1.0894775390624952e-06
14.5,13,50,47,524288,8.96453857421875e-05,1190,50,57.7501,1.87799,0.0001,-1.0354614257812505e-05
21.0,14,50,46,524288,8.7738037109375e-05,809,50,11.3295,0.29648,0.0001,-1.2261962890625005e-05
14.5,15,50,48,524288,9.1552734375e-05,1324,50,57.7501,1.87799,0.0001,-8.447265625000005e-06
17.0,16,50,55,524288,0.0001049041748046875,1414,50,27.1359,0.80505,0.0001,4.904174804687495e-06
13.5,17,50,50,524288,9.5367431640625e-05,1057,50,80.9454,2.796,0.0001,-4.632568359375005e-06
18.5,18,50,45,524288,8.58306884765625e-05,779,50,15.6981,0.42299,0.0001,-1.4169311523437505e-05
12.5,19,50,55,524288,0.0001049041748046875,1892,50,84.8881,2.92925,0.0001,4.904174804687495e-06
13.5,20,50,44,524288,8.392333984375e-05,1189,50,80.9454,2.796,0.0001,-1.6076660156250005e-05
18.5,21,50,26,524288,4.9591064453125e-05,490,50,15.6981,0.42299,0.0001,-5.0408935546875005e-05
17.5,22,50,123,524288,0.0002346038818359375,2450,50,25.3647,0.74841,0.0001,0.0001346038818359375
23.0,23,50,36,524288,6.866455078125e-05,364,47,10.2084,0.27766,0.0001,-3.1335449218750005e-05
13.0,24,50,41,524288,7.82012939453125e-05,1202,50,97.4305,3.39968,0.0001,-2.1798706054687505e-05
16.5,25,50,28,524288,5.340576171875e-05,539,50,33.3239,1.02053,0.0001,-4.6594238281250005e-05
14.5,26,50,48,524288,9.1552734375e-05,757,50,57.7501,1.87799,0.0001,-8.447265625000005e-06
15.5,27,50,43,524288,8.20159912109375e-05,1169,50,42.4308,1.33203,0.0001,-1.7984008789062505e-05
14.5,28,50,57,524288,0.0001087188720703125,1224,50,57.7501,1.87799,0.0001,8.718872070312495e-06
15.5,29,50,48,524288,9.1552734375e-05,1155,50,42.4308,1.33203,0.0001,-8.447265625000005e-06
20.5,30,50,34,524288,6.4849853515625e-05,613,47,11.8289,0.30877,0.0001,-3.5150146484375005e-05
15.0,31,50,51,524288,9.72747802734375e-05,823,50,43.4141,1.35843,0.0001,-2.725219726562505e-06
15.5,32,50,76,524288,0.00014495849609375,1314,49,42.4308,1.33203,0.0001,4.4958496093749995e-05
13.0,33,50,45,524288,8.58306884765625e-05,1186,50,97.4305,3.39968,0.0001,-1.4169311523437505e-05
20.5,34,50,46,524288,8.7738037109375e-05,531,48,11.8289,0.30877,0.0001,-1.2261962890625005e-05
30.0,35,50,54,524288,0.000102996826171875,744,50,10.3766,0.28739,0.0001,2.996826171874995e-06
