layer	threshold	records	base_ctx512	current_capacity	peak_used	derived_capacity	total_outliers	max_row_outliers	compact_overflow	overflow_rows
0	None	0	0	0	0	0	0	0	0	0
1	None	0	0	0	0	0	0	0	0	0
2	24.0	576	418	768	3	418	40	1	0	0
3	32.0	576	72	72	0	72	0	0	0	0
4	None	0	0	0	0	0	0	0	0	0
5	None	0	0	0	0	0	0	0	0	0
6	None	0	0	0	0	0	0	0	0	0
7	24.0	576	68	105	2	68	72	2	0	0
8	None	0	0	0	0	0	0	0	0	0
9	24.0	576	14	14	1	14	36	1	0	0
10	None	0	0	0	0	0	0	0	0	0
11	None	0	0	0	0	0	0	0	0	0
12	None	0	0	0	0	0	0	0	0	0
13	24.0	576	29	29	2	29	72	2	0	0
14	None	0	0	0	0	0	0	0	0	0
15	24.0	576	46	78	2	46	25	1	0	0
16	24.0	576	174	314	3	174	51	1	0	0
17	32.0	576	31	67	0	31	0	0	0	0
18	32.0	576	294	532	0	294	0	0	0	0
19	24.0	576	16	49	2	16	124	1	0	0
20	32.0	576	129	168	0	129	0	0	0	0
21	32.0	576	321	609	0	321	0	0	0	0
22	24.0	576	221	875	3	221	134	1	0	0
23	None	0	0	0	0	0	0	0	0	0
24	24.0	576	17	17	1	17	38	1	0	0
25	32.0	576	61	207	0	61	0	0	0	0
26	32.0	576	26	26	0	26	0	0	0	0
27	32.0	576	48	124	0	48	0	0	0	0
28	32.0	576	28	114	0	28	0	0	0	0
29	32.0	576	29	60	0	29	0	0	0	0
30	32.0	576	883	1885	0	883	0	0	0	0
31	32.0	576	30	66	0	30	0	0	0	0
32	32.0	576	8	85	0	8	0	0	0	0
33	32.0	576	18	18	0	18	0	0	0	0
34	32.0	576	751	2012	0	751	0	0	0	0
35	None	0	0	0	0	0	0	0	0	0
