layer,threshold,old_capacity,records,max_batch_outliers,max_compact_used,max_row_outliers,overflow_records,overflow_rows_sum,capacity_1_25,capacity_1_5,capacity_2_0
0,214.0,72,584,69,69,4,0,0,87,104,138
1,42.0,48,584,49,49,3,1,1,62,74,98
2,19.0,64,584,63,63,2,0,0,79,95,126
3,16.25,63,584,62,62,3,0,0,78,93,124
4,42.0,74,584,146,146,4,3,82,183,219,292
5,72.0,52,584,50,50,1,0,0,63,75,100
6,26.0,67,584,95,95,3,1,26,119,143,190
7,15.25,60,584,126,126,8,559,12370,158,189,252
8,40.0,93,584,117,117,3,1,15,147,176,234
9,13.0,64,584,51,51,4,0,0,64,77,102
10,38.0,95,584,82,82,3,0,0,103,123,164
11,27.0,92,584,62,62,4,0,0,78,93,124
12,23.0,67,584,47,47,3,0,0,59,71,94
13,14.5,59,584,53,53,6,0,0,67,80,106
14,21.0,58,584,58,58,3,0,0,73,87,116
15,14.5,60,584,94,94,8,154,1305,118,141,188
16,17.0,69,584,97,97,3,13,109,122,146,194
17,13.5,63,584,111,111,5,39,543,139,167,222
18,17.75,65,584,117,117,4,6,62,147,176,234
19,12.5,69,584,117,117,6,24,286,147,176,234
20,13.5,55,584,161,161,6,119,2126,202,242,322
21,18.25,68,584,85,85,2,14,116,107,128,170
22,17.75,85,584,78,78,4,0,0,98,117,156
23,23.0,45,584,41,41,3,0,0,52,62,82
24,13.0,52,584,82,82,8,8,45,103,123,164
25,16.25,58,584,42,42,2,0,0,53,63,84
26,14.5,60,584,62,62,4,1,2,78,93,124
27,15.5,54,584,56,56,2,1,2,70,84,112
28,14.5,72,584,50,50,3,0,0,63,75,100
29,15.5,60,584,37,37,2,0,0,47,56,74
30,20.25,75,584,50,50,3,0,0,63,75,100
31,15.0,64,584,48,48,4,0,0,60,72,96
32,15.75,72,584,16,16,1,0,0,20,24,32
33,13.0,57,584,119,119,5,117,1186,149,179,238
34,20.25,73,584,48,48,2,0,0,60,72,96
35,30.0,68,584,82,82,2,5,24,103,123,164
