threshold,layer,records,max_batch_outliers,target_values,max_batch_outlier_ratio,total_outliers,nonzero_batches,ppl,ppl_err,target_ratio,ratio_delta
214.0,0,50,57,524288,0.0001087188720703125,1567,50,10.2788,0.28123,0.0001,8.718872070312495e-06
20.75,1,50,3725,524288,0.0071048736572265625,180709,50,10.7831,0.27867,0.0001,0.007004873657226562
18.25,2,50,91,524288,0.0001735687255859375,3121,50,18.2195,0.50345,0.0001,7.35687255859375e-05
16.25,3,50,50,524288,9.5367431640625e-05,1781,50,34.564,1.06324,0.0001,-4.632568359375005e-06
20.75,4,50,4070,524288,0.007762908935546875,190834,50,10.7831,0.27867,0.0001,0.007662908935546875
20.75,5,50,3798,524288,0.007244110107421875,182319,50,10.7831,0.27867,0.0001,0.007144110107421875
20.75,6,50,919,524288,0.0017528533935546875,33811,50,10.7831,0.27867,0.0001,0.0016528533935546875
15.25,7,50,48,524288,9.1552734375e-05,1480,50,45.7332,1.45157,0.0001,-8.447265625000005e-06
20.75,8,50,3394,524288,0.006473541259765625,166569,50,10.7831,0.27867,0.0001,0.006373541259765625
15.25,9,50,14,524288,2.6702880859375e-05,339,50,45.7332,1.45157,0.0001,-7.3297119140625e-05
20.75,10,50,3442,524288,0.006565093994140625,163739,50,10.7831,0.27867,0.0001,0.006465093994140625
20.75,11,50,1916,524288,0.00365447998046875,76130,50,10.7831,0.27867,0.0001,0.00355447998046875
20.75,12,50,198,524288,0.000377655029296875,4219,50,10.7831,0.27867,0.0001,0.000277655029296875
15.25,13,50,28,524288,5.340576171875e-05,755,50,45.7332,1.45157,0.0001,-4.6594238281250005e-05
20.75,14,50,63,524288,0.0001201629638671875,1149,50,10.7831,0.27867,0.0001,2.0162963867187495e-05
15.25,15,50,26,524288,4.9591064453125e-05,774,50,45.7332,1.45157,0.0001,-5.0408935546875005e-05
16.75,16,50,81,524288,0.0001544952392578125,1810,50,28.0213,0.83601,0.0001,5.4495239257812495e-05
15.75,17,50,14,524288,2.6702880859375e-05,281,50,37.7347,1.16413,0.0001,-7.3297119140625e-05
17.75,18,50,52,524288,9.918212890625e-05,823,50,21.0603,0.59765,0.0001,-8.178710937500048e-07
15.25,19,50,7,524288,1.33514404296875e-05,199,50,45.7332,1.45157,0.0001,-8.66485595703125e-05
15.75,20,50,19,524288,3.62396240234375e-05,405,50,37.7347,1.16413,0.0001,-6.37603759765625e-05
18.25,21,50,54,524288,0.000102996826171875,1127,50,18.2195,0.50345,0.0001,2.996826171874995e-06
17.75,22,50,68,524288,0.00012969970703125,1374,50,21.0603,0.59765,0.0001,2.9699707031249995e-05
20.75,23,50,289,524288,0.0005512237548828125,6944,50,10.7831,0.27867,0.0001,0.0004512237548828125
15.25,24,50,13,524288,2.47955322265625e-05,377,50,45.7332,1.45157,0.0001,-7.52044677734375e-05
16.25,25,50,46,524288,8.7738037109375e-05,939,50,34.564,1.06324,0.0001,-1.2261962890625005e-05
15.25,26,50,27,524288,5.14984130859375e-05,386,50,45.7332,1.45157,0.0001,-4.8501586914062505e-05
15.75,27,50,39,524288,7.43865966796875e-05,881,50,37.7347,1.16413,0.0001,-2.5613403320312505e-05
15.25,28,50,24,524288,4.57763671875e-05,649,50,45.7332,1.45157,0.0001,-5.4223632812500005e-05
15.25,29,50,64,524288,0.0001220703125,1573,50,45.7332,1.45157,0.0001,2.2070312499999995e-05
20.25,30,50,60,524288,0.00011444091796875,1036,50,12.2373,0.32109,0.0001,1.4440917968749995e-05
15.25,31,50,26,524288,4.9591064453125e-05,693,50,45.7332,1.45157,0.0001,-5.0408935546875005e-05
15.75,32,50,57,524288,0.0001087188720703125,588,50,37.7347,1.16413,0.0001,8.718872070312495e-06
15.25,33,50,10,524288,1.9073486328125e-05,270,50,45.7332,1.45157,0.0001,-8.0926513671875e-05
20.25,34,50,58,524288,0.000110626220703125,860,49,12.2373,0.32109,0.0001,1.0626220703124995e-05
20.75,35,50,1972,524288,0.00376129150390625,82111,50,10.7831,0.27867,0.0001,0.00366129150390625
