threshold,layer,records,max_batch_outliers,target_values,max_batch_outlier_ratio,total_outliers,nonzero_batches,ppl,ppl_err
15.25,0,50,5600,524288,0.01068115234375,271879,50,45.7332,1.45157
15.25,1,50,4057,524288,0.0077381134033203125,200395,50,45.7332,1.45157
15.25,2,50,509,524288,0.0009708404541015625,19022,50,45.7332,1.45157
15.25,3,50,76,524288,0.00014495849609375,2621,50,45.7332,1.45157
15.25,4,50,5742,524288,0.010951995849609375,274317,50,45.7332,1.45157
15.25,5,50,4169,524288,0.007951736450195312,205672,50,45.7332,1.45157
15.25,6,50,3358,524288,0.006404876708984375,159339,50,45.7332,1.45157
15.25,7,50,48,524288,9.1552734375e-05,1480,50,45.7332,1.45157
15.25,8,50,3722,524288,0.007099151611328125,182457,50,45.7332,1.45157
15.25,9,50,14,524288,2.6702880859375e-05,339,50,45.7332,1.45157
15.25,10,50,4265,524288,0.008134841918945312,206346,50,45.7332,1.45157
15.25,11,50,5205,524288,0.009927749633789062,243234,50,45.7332,1.45157
15.25,12,50,2069,524288,0.0039463043212890625,90546,50,45.7332,1.45157
15.25,13,50,28,524288,5.340576171875e-05,755,50,45.7332,1.45157
15.25,14,50,3315,524288,0.0063228607177734375,149183,50,45.7332,1.45157
15.25,15,50,26,524288,4.9591064453125e-05,774,50,45.7332,1.45157
15.25,16,50,212,524288,0.00040435791015625,6661,50,45.7332,1.45157
15.25,17,50,12,524288,2.288818359375e-05,316,50,45.7332,1.45157
15.25,18,50,335,524288,0.0006389617919921875,10048,50,45.7332,1.45157
15.25,19,50,7,524288,1.33514404296875e-05,199,50,45.7332,1.45157
15.25,20,50,18,524288,3.4332275390625e-05,464,50,45.7332,1.45157
15.25,21,50,489,524288,0.0009326934814453125,21838,50,45.7332,1.45157
15.25,22,50,658,524288,0.001255035400390625,19251,50,45.7332,1.45157
15.25,23,50,1911,524288,0.0036449432373046875,86749,50,45.7332,1.45157
15.25,24,50,13,524288,2.47955322265625e-05,377,50,45.7332,1.45157
15.25,25,50,247,524288,0.0004711151123046875,7777,50,45.7332,1.45157
15.25,26,50,27,524288,5.14984130859375e-05,386,50,45.7332,1.45157
15.25,27,50,76,524288,0.00014495849609375,1609,50,45.7332,1.45157
15.25,28,50,24,524288,4.57763671875e-05,649,50,45.7332,1.45157
15.25,29,50,64,524288,0.0001220703125,1573,50,45.7332,1.45157
15.25,30,50,1674,524288,0.003192901611328125,80190,50,45.7332,1.45157
15.25,31,50,26,524288,4.9591064453125e-05,693,50,45.7332,1.45157
15.25,32,50,156,524288,0.00029754638671875,3282,50,45.7332,1.45157
15.25,33,50,10,524288,1.9073486328125e-05,270,50,45.7332,1.45157
15.25,34,50,1868,524288,0.00356292724609375,84917,50,45.7332,1.45157
15.25,35,50,5675,524288,0.010824203491210938,263846,50,45.7332,1.45157
15.75,0,50,5293,524288,0.010095596313476562,257514,50,37.7347,1.16413
15.75,1,50,4025,524288,0.0076770782470703125,199348,50,37.7347,1.16413
15.75,2,50,420,524288,0.00080108642578125,14890,50,37.7347,1.16413
15.75,3,50,64,524288,0.0001220703125,2125,50,37.7347,1.16413
15.75,4,50,5566,524288,0.010616302490234375,267807,50,37.7347,1.16413
15.75,5,50,4115,524288,0.007848739624023438,202742,50,37.7347,1.16413
15.75,6,50,3203,524288,0.0061092376708984375,150614,50,37.7347,1.16413
15.75,7,50,29,524288,5.53131103515625e-05,1060,50,37.7347,1.16413
15.75,8,50,3676,524288,0.00701141357421875,181165,50,37.7347,1.16413
15.75,9,50,12,524288,2.288818359375e-05,285,50,37.7347,1.16413
15.75,10,50,4090,524288,0.007801055908203125,196979,50,37.7347,1.16413
15.75,11,50,4685,524288,0.008935928344726562,218545,50,37.7347,1.16413
15.75,12,50,1906,524288,0.003635406494140625,82411,50,37.7347,1.16413
15.75,13,50,22,524288,4.1961669921875e-05,632,50,37.7347,1.16413
15.75,14,50,2916,524288,0.00556182861328125,133081,50,37.7347,1.16413
15.75,15,50,19,524288,3.62396240234375e-05,641,50,37.7347,1.16413
15.75,16,50,166,524288,0.000316619873046875,4406,50,37.7347,1.16413
15.75,17,50,14,524288,2.6702880859375e-05,281,50,37.7347,1.16413
15.75,18,50,271,524288,0.0005168914794921875,7665,50,37.7347,1.16413
15.75,19,50,6,524288,1.1444091796875e-05,173,50,37.7347,1.16413
15.75,20,50,19,524288,3.62396240234375e-05,405,50,37.7347,1.16413
15.75,21,50,438,524288,0.000835418701171875,19398,50,37.7347,1.16413
15.75,22,50,509,524288,0.0009708404541015625,13105,50,37.7347,1.16413
15.75,23,50,1844,524288,0.00351715087890625,80885,50,37.7347,1.16413
15.75,24,50,11,524288,2.09808349609375e-05,337,50,37.7347,1.16413
15.75,25,50,155,524288,0.0002956390380859375,3698,50,37.7347,1.16413
15.75,26,50,18,524288,3.4332275390625e-05,274,50,37.7347,1.16413
15.75,27,50,39,524288,7.43865966796875e-05,881,50,37.7347,1.16413
15.75,28,50,18,524288,3.4332275390625e-05,519,50,37.7347,1.16413
15.75,29,50,34,524288,6.4849853515625e-05,800,50,37.7347,1.16413
15.75,30,50,1581,524288,0.0030155181884765625,74481,50,37.7347,1.16413
15.75,31,50,23,524288,4.38690185546875e-05,511,50,37.7347,1.16413
15.75,32,50,57,524288,0.0001087188720703125,588,50,37.7347,1.16413
15.75,33,50,9,524288,1.71661376953125e-05,223,50,37.7347,1.16413
15.75,34,50,1671,524288,0.0031871795654296875,75229,50,37.7347,1.16413
15.75,35,50,5278,524288,0.010066986083984375,248170,50,37.7347,1.16413
16.25,0,50,5006,524288,0.009548187255859375,243781,50,34.564,1.06324
16.25,1,50,4005,524288,0.0076389312744140625,198370,50,34.564,1.06324
16.25,2,50,330,524288,0.000629425048828125,11407,50,34.564,1.06324
16.25,3,50,50,524288,9.5367431640625e-05,1781,50,34.564,1.06324
16.25,4,50,5441,524288,0.010377883911132812,262066,50,34.564,1.06324
16.25,5,50,4075,524288,0.0077724456787109375,200181,50,34.564,1.06324
16.25,6,50,3054,524288,0.005825042724609375,139994,50,34.564,1.06324
16.25,7,50,24,524288,4.57763671875e-05,830,50,34.564,1.06324
16.25,8,50,3647,524288,0.0069561004638671875,180112,50,34.564,1.06324
16.25,9,50,9,524288,1.71661376953125e-05,252,50,34.564,1.06324
16.25,10,50,3951,524288,0.0075359344482421875,189895,50,34.564,1.06324
16.25,11,50,4560,524288,0.008697509765625,203958,50,34.564,1.06324
16.25,12,50,1603,524288,0.0030574798583984375,67298,50,34.564,1.06324
16.25,13,50,18,524288,3.4332275390625e-05,592,50,34.564,1.06324
16.25,14,50,2809,524288,0.0053577423095703125,118232,50,34.564,1.06324
16.25,15,50,22,524288,4.1961669921875e-05,610,50,34.564,1.06324
16.25,16,50,115,524288,0.0002193450927734375,3175,50,34.564,1.06324
16.25,17,50,8,524288,1.52587890625e-05,227,50,34.564,1.06324
16.25,18,50,106,524288,0.000202178955078125,2841,50,34.564,1.06324
16.25,19,50,6,524288,1.1444091796875e-05,162,50,34.564,1.06324
16.25,20,50,14,524288,2.6702880859375e-05,357,50,34.564,1.06324
16.25,21,50,375,524288,0.0007152557373046875,14365,50,34.564,1.06324
16.25,22,50,275,524288,0.0005245208740234375,7545,50,34.564,1.06324
16.25,23,50,1623,524288,0.0030956268310546875,70810,50,34.564,1.06324
16.25,24,50,9,524288,1.71661376953125e-05,229,50,34.564,1.06324
16.25,25,50,46,524288,8.7738037109375e-05,939,50,34.564,1.06324
16.25,26,50,10,524288,1.9073486328125e-05,228,50,34.564,1.06324
16.25,27,50,26,524288,4.9591064453125e-05,464,50,34.564,1.06324
16.25,28,50,17,524288,3.24249267578125e-05,326,49,34.564,1.06324
16.25,29,50,22,524288,4.1961669921875e-05,478,50,34.564,1.06324
16.25,30,50,1427,524288,0.0027217864990234375,65775,50,34.564,1.06324
16.25,31,50,22,524288,4.1961669921875e-05,338,50,34.564,1.06324
16.25,32,50,5,524288,9.5367431640625e-06,55,25,34.564,1.06324
16.25,33,50,7,524288,1.33514404296875e-05,200,50,34.564,1.06324
16.25,34,50,1304,524288,0.0024871826171875,56929,50,34.564,1.06324
16.25,35,50,4700,524288,0.00896453857421875,225810,50,34.564,1.06324
16.75,0,50,4709,524288,0.008981704711914062,231236,50,28.0213,0.83601
16.75,1,50,3990,524288,0.007610321044921875,197234,50,28.0213,0.83601
16.75,2,50,254,524288,0.000484466552734375,8567,50,28.0213,0.83601
16.75,3,50,40,524288,7.62939453125e-05,1460,50,28.0213,0.83601
16.75,4,50,5391,524288,0.010282516479492188,255798,50,28.0213,0.83601
16.75,5,50,4038,524288,0.007701873779296875,197994,50,28.0213,0.83601
16.75,6,50,2816,524288,0.00537109375,126723,50,28.0213,0.83601
16.75,7,50,19,524288,3.62396240234375e-05,691,50,28.0213,0.83601
16.75,8,50,3618,524288,0.006900787353515625,179196,50,28.0213,0.83601
16.75,9,50,9,524288,1.71661376953125e-05,230,50,28.0213,0.83601
16.75,10,50,3903,524288,0.0074443817138671875,188091,50,28.0213,0.83601
16.75,11,50,4347,524288,0.008291244506835938,189129,50,28.0213,0.83601
16.75,12,50,1411,524288,0.0026912689208984375,54274,50,28.0213,0.83601
16.75,13,50,18,524288,3.4332275390625e-05,487,50,28.0213,0.83601
16.75,14,50,2479,524288,0.0047283172607421875,99286,50,28.0213,0.83601
16.75,15,50,14,524288,2.6702880859375e-05,559,50,28.0213,0.83601
16.75,16,50,81,524288,0.0001544952392578125,1810,50,28.0213,0.83601
16.75,17,50,5,524288,9.5367431640625e-06,214,50,28.0213,0.83601
16.75,18,50,74,524288,0.000141143798828125,1992,50,28.0213,0.83601
16.75,19,50,3,524288,5.7220458984375e-06,111,50,28.0213,0.83601
